fips,pm25_mean_2016_2024
01003,6.655
01027,7.167
01049,5.770
01055,7.739
01073,9.825
01089,6.569
01097,7.535
01101,7.832
01103,6.585
01113,8.980
01119,6.405
01125,6.489
02020,6.448
02090,11.743
02110,7.093
02170,3.774
04001,1.456
04012,4.494
04013,9.036
04015,11.340
04019,7.633
04021,10.009
04023,14.178
04027,7.769
05001,8.172
05003,7.657
05035,7.470
05051,9.123
05067,7.243
05113,8.852
05119,9.571
05139,9.049
05143,8.415
06007,9.690
06009,6.250
06011,3.731
06019,11.025
06023,6.940
06025,9.635
06027,4.257
06029,7.729
06031,10.363
06033,3.120
06037,12.156
06039,8.911
06047,7.897
06051,3.836
06053,5.290
06057,2.164
06059,10.158
06061,6.576
06063,14.607
06065,8.605
06067,7.064
06069,4.608
06071,9.259
06073,7.230
06077,10.399
06079,6.857
06083,5.330
06087,5.601
06089,4.103
06099,8.885
06101,9.735
06103,4.242
06107,7.271
06111,5.622
06113,9.789
08001,6.290
08003,4.134
08005,4.864
08007,3.777
08013,5.465
08031,6.326
08035,4.323
08041,3.877
08043,4.131
08069,5.309
08077,4.913
08097,3.220
08099,5.135
08101,4.522
08107,4.358
08113,3.077
08123,5.711
09001,6.215
09003,6.499
09005,3.471
09009,6.358
09011,5.293
10001,6.922
10003,7.228
10005,6.287
11001,5.982
12001,6.091
12009,5.294
12011,6.839
12031,8.288
12033,7.464
12057,8.570
12071,7.188
12073,8.813
12085,7.251
12086,8.444
12095,7.026
12097,7.398
12099,7.080
12103,7.637
12115,7.237
12117,7.255
12127,7.949
13021,10.055
13051,8.847
13059,8.304
13063,8.603
13067,5.799
13069,8.535
13089,8.275
13095,10.637
13121,9.003
13127,8.070
13135,8.378
13139,8.051
13153,9.643
13185,9.843
13215,10.679
13245,11.137
13295,10.041
13303,8.993
15001,4.176
15003,5.051
15009,4.338
16001,4.984
16009,8.556
16027,5.523
16041,4.855
16059,9.949
16079,11.038
17019,6.531
17031,7.752
17043,8.695
17065,7.065
17083,5.566
17089,7.871
17111,7.731
17113,7.706
17115,8.161
17119,8.273
17143,8.617
17157,7.887
17161,7.433
17163,8.291
17167,7.191
17197,8.377
17201,7.448
18003,7.612
18005,6.578
18019,7.397
18035,6.768
18037,6.751
18039,6.605
18043,7.088
18055,6.503
18057,7.497
18065,6.440
18067,5.977
18089,8.398
18091,6.188
18095,6.314
18097,8.383
18105,6.403
18127,6.777
18141,6.141
18147,6.941
18157,6.175
18163,7.107
18167,8.181
18183,6.653
19013,7.318
19045,7.532
19103,7.431
19113,7.560
19137,5.889
19139,7.107
19147,5.575
19153,6.979
19155,6.819
19163,7.230
19177,6.446
19193,6.626
20057,4.708
20091,7.676
20133,7.590
20173,9.722
20177,8.159
20181,4.097
20191,7.872
20195,4.557
20209,7.844
21013,9.243
21019,6.610
21037,6.312
21043,4.983
21047,6.959
21059,7.546
21067,7.256
21093,7.064
21111,7.686
21113,6.990
21145,6.280
21193,6.936
21195,5.447
21199,6.892
21227,6.428
22017,7.412
22019,6.992
22033,8.483
22047,7.093
22051,7.266
22055,6.603
22071,6.978
22073,6.689
22079,5.777
22087,7.011
22105,6.377
22109,6.497
22121,8.149
23001,5.096
23003,4.526
23005,6.361
23009,3.152
23011,5.644
23017,7.546
23019,5.641
23029,4.506
24005,7.472
24015,5.284
24019,5.161
24023,5.679
24025,6.903
24027,6.861
24029,5.879
24031,6.009
24033,5.520
24043,6.829
24510,7.599
25003,5.107
25005,4.734
25009,4.370
25011,6.356
25013,5.464
25015,3.733
25017,5.095
25021,4.463
25023,4.818
25025,5.342
25027,4.853
26005,7.287
26017,8.226
26049,5.608
26065,5.918
26077,6.257
26081,7.799
26091,7.032
26099,6.841
26101,4.105
26103,3.503
26113,4.723
26125,7.138
26139,6.066
26147,6.787
26153,4.037
26161,6.533
26163,8.222
27003,4.539
27005,5.181
27007,4.312
27013,6.399
27017,4.008
27021,4.573
27031,2.515
27035,4.620
27037,5.701
27053,6.402
27075,2.627
27083,4.702
27109,6.511
27123,5.812
27137,4.802
27139,5.833
27145,4.982
27171,4.948
28011,6.744
28033,7.188
28035,8.378
28045,7.760
28047,7.502
28049,8.140
28059,7.799
29021,7.743
29037,5.454
29039,6.436
29047,5.845
29077,7.569
29095,7.548
29099,6.918
29189,8.160
29510,8.508
30001,1.275
30017,3.673
30021,1.438
30027,3.028
30029,8.431
30031,2.435
30035,3.798
30041,2.254
30049,6.483
30053,13.597
30063,6.116
30071,3.106
30081,6.686
30083,3.418
30093,7.326
30099,1.967
30111,4.858
31055,6.631
31067,6.001
31079,5.907
31109,5.929
31153,7.356
31157,4.972
31177,6.217
32003,5.250
32005,5.183
32031,5.932
32510,4.682
33001,5.342
33005,6.796
33009,4.328
33011,3.706
33015,4.288
35001,7.045
35013,15.565
35025,9.727
35049,2.912
35055,2.593
36001,5.522
36005,6.719
36013,4.813
36029,5.851
36031,2.624
36047,7.503
36055,5.900
36061,7.171
36067,5.020
36071,5.355
36081,6.900
36085,6.287
36101,4.758
36103,5.893
37021,6.949
37035,7.180
37051,7.703
37057,8.612
37063,7.495
37067,7.574
37081,6.419
37101,6.179
37119,8.410
37121,7.218
37123,6.176
37129,7.841
37131,5.957
37147,5.264
37159,6.963
37173,5.782
37183,7.143
38007,3.219
38013,3.922
38015,4.153
38017,4.737
38025,4.209
38053,3.356
38057,3.794
38065,3.541
38101,4.033
39003,6.995
39009,5.016
39013,7.111
39017,8.663
39023,7.475
39035,7.463
39049,8.050
39061,7.442
39081,7.741
39085,5.780
39087,6.311
39095,8.016
39099,7.371
39103,6.463
39113,7.493
39135,6.633
39145,6.974
39151,8.182
39153,7.328
39155,7.510
40001,10.012
40019,6.018
40027,7.635
40031,6.474
40043,6.807
40071,7.395
40109,7.660
40115,10.497
40121,8.671
40135,8.127
40143,8.983
40147,7.476
41013,8.040
41017,3.239
41025,9.440
41029,9.899
41033,8.539
41035,9.763
41037,7.889
41039,6.908
41047,3.868
41051,6.940
41067,5.552
42001,7.452
42003,7.954
42005,6.675
42007,7.278
42011,7.979
42013,6.721
42015,6.053
42021,6.515
42027,6.203
42029,7.277
42041,8.062
42043,7.930
42045,7.823
42049,5.685
42051,5.817
42059,5.631
42063,6.304
42069,6.557
42071,8.000
42075,7.651
42077,6.948
42081,7.216
42085,6.258
42091,7.162
42095,7.190
42101,8.870
42115,4.595
42117,4.917
42125,6.036
42129,6.516
42131,5.194
42133,7.014
44003,2.693
44007,5.929
44009,4.754
45019,8.137
45025,7.551
45037,8.218
45041,8.337
45045,8.297
45051,9.018
45079,7.827
45083,8.379
46011,8.038
46013,4.718
46027,5.362
46029,5.929
46033,7.073
46065,2.623
46071,6.594
46099,3.301
46103,5.324
47009,5.800
47037,7.771
47045,5.968
47065,7.031
47093,7.378
47099,6.211
47105,5.990
47107,6.246
47113,5.661
47119,6.347
47125,5.643
47141,5.413
47145,5.189
47163,5.436
47165,7.016
48013,8.624
48027,6.750
48029,8.095
48037,6.441
48039,7.507
48041,8.137
48043,5.414
48061,10.665
48113,7.342
48121,6.536
48135,10.364
48141,23.825
48167,6.489
48201,9.685
48203,7.723
48215,10.078
48245,8.878
48257,7.090
48273,9.371
48303,5.700
48323,6.499
48339,10.102
48349,7.010
48355,9.246
48361,8.324
48375,2.058
48439,9.392
48453,8.789
48479,7.985
49003,4.789
49005,5.370
49007,3.769
49011,5.744
49013,6.215
49019,6.627
49021,5.993
49035,6.421
49045,4.886
49047,4.206
49049,6.455
49051,4.651
49053,4.669
49057,5.092
50003,4.437
50007,3.041
50021,6.546
51003,6.919
51013,6.818
51036,5.086
51041,6.989
51059,6.692
51069,7.662
51087,6.478
51107,6.690
51113,5.581
51161,6.084
51165,6.933
51520,6.805
51650,6.495
51680,5.861
51710,6.611
51760,6.795
51775,6.123
51810,7.095
53011,6.059
53033,6.577
53035,4.239
53037,5.734
53047,8.098
53053,7.928
53057,3.631
53061,7.781
53063,7.580
53065,7.290
53067,3.846
53073,4.928
53077,8.011
54003,7.340
54009,7.436
54011,6.456
54029,7.141
54033,6.462
54039,6.985
54049,6.407
54051,9.164
54061,6.711
54069,7.231
54107,7.442
55003,4.198
55009,5.889
55025,6.143
55027,5.132
55035,6.312
55041,4.900
55043,8.504
55053,6.751
55059,5.605
55073,5.259
55079,6.500
55081,3.962
55087,5.927
55089,4.993
55111,5.633
55133,6.228
56001,1.281
56005,2.931
56013,2.089
56021,2.888
56025,2.791
56029,2.256
56033,5.965
56035,4.805
56037,3.053
56039,2.597
56043,1.698
72021,4.918
72025,4.396
72053,4.670
72061,5.135
72113,4.807
80026,12.905
